Title20,ISO_ABBREV,TITLE,ISSN,ISSUES/YEAR,COUNTRY,LANGUAGE,1ST_YR_PUB,categories,TOT_CITES,CITES_JCR_YR,CITES_JCR_YR1,CITES_JCR_YR2,IF_NUMERATOR,CITES_JCR_YR3,CITES_JCR_YR4,CITES_JCR_YR5,5YR_IF_NUMERATOR,ITEMS_JCR_YR,ITEMS_JCR_YR1,ITEMS_JCR_YR2,IF_DENOMINATOR,ITEMS_JCR_YR3,ITEMS_JCR_YR4,ITEMS_JCR_YR5,5YR_IF_DENOMINATOR,IMPACT_FACTOR,IMMEDIACY_INDEX,CITED_HALF_LIFE,5YR_IMPACT_FACTOR,EIGENFACTOR,NORMEIGENFACTOR,ARTL_INFLUENCE,FREQUENCY,PUBCODE,PUBLISHER_NAME,CATEGORY_CODE,CATEGORY_DESCRIPTION,CATEGORY_RANKING,QUARTILE_RANK,JIF_PERCENTILE
B MALARIOL SALUD AMB,Bol. Malar. Salud. Ambient.,Boletin de Malariologia y Salud Ambiental,1690-4648,2,VENEZUELA,SPANISH,1949,NN TI,84,0,2,11,13,6,7,12,38,9,27,25,52,27,27,32,138,0.250,0.000,,0.275,0.00016,0.01861,0.078,H,ABN42,"INST ALTOS ESTUDIOS, DR ARNOLDO GABOLDON",TI,PARASITOLOGY,36/36,Q4,1.389
KOREAN J PARASITOL,Korean J. Parasitol.,KOREAN JOURNAL OF PARASITOLOGY,0023-4001,4,SOUTH KOREA,MULTI-LANGUAGE,1963,TI,1037,13,92,140,232,74,57,54,417,109,107,119,226,67,75,60,428,1.027,0.119,6.7,0.974,0.00153,0.17475,0.237,Q,AAH71,"KOREAN SOC PARASITOLOGY, SEOUL NATL UNIV COLL MEDI",TI,PARASITOLOGY,27/36,Q3,26.389
J AM ACAD CHILD PSY,J. Am. Acad. Child Adolesc. Psychiatr.,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,0890-8567,12,NETHERLANDS,ENGLISH,1962,TQ VE,18227,135,618,761,1379,924,786,1142,4231,94,96,96,192,96,96,101,485,7.182,1.436,>10,8.724,0.02318,2.64153,3.160,M,JM501,ELSEVIER SCIENCE INC,VE,PSYCHIATRY,8/142,Q1,94.718
J BEHAV ADDICT,J. Behav. Addict.,Journal of Behavioral Addictions,2062-5871,4,HUNGARY,ENGLISH,2012,VE,240,28,64,98,162,50,0,0,212,35,32,33,65,22,0,0,87,2.492,0.800,2.3,2.437,0.00069,0.07866,0.525,Q,AV001,AKADEMIAI KIADO RT,VE,PSYCHIATRY,59/142,Q2,58.803
J NEUROL NEUROSUR PS,J. Neurol. Neurosurg. Psychiatry,JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,0022-3050,12,ENGLAND,ENGLISH,1926,RT VE YA,26259,421,1276,1322,2598,1199,1119,1085,6001,185,202,202,404,187,244,241,1076,6.431,2.276,>10,5.577,0.03284,3.74274,2.018,M,FS001,BMJ PUBLISHING GROUP,VE,PSYCHIATRY,11/142,Q1,92.606
KLIN PSIKOFARMAKOL B,Klin. Psikofarmakol. Bul.,KLINIK PSIKOFARMAKOLOJI BULTENI-BULLETIN OF CLINICAL PSYCHOPHARMACOLOGY,1017-7833,4,TURKEY,TURKISH,1994,VE,216,1,21,19,40,25,30,21,116,50,55,54,109,52,57,55,273,0.367,0.020,5.6,0.425,0.00031,0.03542,0.075,Q,AAM23,KURE ILETISIM GRUBU A S,VE,PSYCHIATRY,136/142,Q4,4.577
SAJP-S AFR J PSYCHI,SAJP,South African Journal of Psychiatry,1608-9685,4,SOUTH AFRICA,ENGLISH,1995,VE,54,2,4,7,11,5,6,11,33,20,27,30,57,18,18,15,108,0.193,0.100,,0.306,0.00010,0.01127,0.061,Q,ABP58,SA MEDICAL ASSOC HEALTH & MEDICAL PUBL GROUP,VE,PSYCHIATRY,141/142,Q4,1.056
SOC PSYCH PSYCH EPID,Soc. Psychiatry Psychiatr. Epidemiol.,SOCIAL PSYCHIATRY AND PSYCHIATRIC EPIDEMIOLOGY,0933-7954,12,GERMANY (FED REP GER),ENGLISH,1988,VE,6362,94,460,490,950,650,360,377,2337,175,185,193,378,200,141,126,845,2.513,0.537,8,2.766,0.01131,1.28877,0.885,M,ZX651,SPRINGER HEIDELBERG,VE,PSYCHIATRY,58/142,Q2,59.507
DIS AQUAT ORGAN,Dis. Aquat. Org.,DISEASES OF AQUATIC ORGANISMS,0177-5103,12,GERMANY (FED REP GER),ENGLISH,1985,JU ZC,5379,30,187,268,455,259,213,262,1189,136,130,127,257,131,125,142,655,1.770,0.221,>10,1.815,0.00519,0.59129,0.524,M,NV563,INTER-RESEARCH,ZC,VETERINARY SCIENCES,22/138,Q1,84.42
IPPOLOGIA,Ippologia,IPPOLOGIA,1120-5776,4,ITALY,ITALIAN,1990,ZC,15,0,0,0,0,1,2,4,7,,6,12,18,11,17,20,66,0.000,,,0.106,0.00003,0.00337,0.030,Q,JB710,EDITORE SCIVAC,ZC,VETERINARY SCIENCES,137/138,Q4,1.087
J FISH DIS,J. Fish Dis.,JOURNAL OF FISH DISEASES,0140-7775,12,ENGLAND,ENGLISH,1978,JU PI ZC,3776,44,175,291,466,170,187,248,1071,113,119,108,227,106,105,110,548,2.053,0.389,>10,1.954,0.00416,0.47426,0.502,M,FL501,WILEY-BLACKWELL,ZC,VETERINARY SCIENCES,16/138,Q1,88.768
J HELL VET MED SOC,J. Hell. Vet. Med. Soc.,Journal of the Hellenic Veterinary Medical Society,1792-2720,4,GREECE,GREEK,2002,ZC,48,0,5,9,14,9,9,6,38,17,23,20,43,25,31,24,123,0.326,0.000,,0.309,0.00017,0.01969,0.093,Q,ACG99,HELLENIC VETERINARY MEDICAL SOC,ZC,VETERINARY SCIENCES,111/138,Q4,19.928
J ZOO WILDLIFE MED,J. Zoo Wildl. Med.,JOURNAL OF ZOO AND WILDLIFE MEDICINE,1042-7260,4,USA,ENGLISH,1969,ZC,1479,7,49,100,149,110,91,78,428,158,164,190,354,164,125,123,766,0.421,0.044,>10,0.559,0.00172,0.19653,0.149,Q,BM101,AMER ASSOC ZOO VETERINARIANS,ZC,VETERINARY SCIENCES,104/138,Q4,25
JAVMA-J AM VET MED A,JAVMA-J. Am. Vet. Med. Assoc.,JAVMA-JOURNAL OF THE AMERICAN VETERINARY MEDICAL ASSOCIATION,0003-1488,24,USA,ENGLISH,2004,ZC,10770,123,179,411,590,332,349,320,1591,144,162,231,393,196,182,158,929,1.501,0.854,>10,1.713,0.00751,0.85607,0.535,S,DQ001,AMER VETERINARY MEDICAL ASSOC,ZC,VETERINARY SCIENCES,32/138,Q1,77.174
PLOS NEGLECT TROP D,Plos Neglect. Trop. Dis.,PLoS Neglected Tropical Diseases,1935-2735,12,USA,ENGLISH,2007,TI YU,14371,583,2552,2786,5338,2499,2044,1812,11693,805,746,606,1352,500,424,335,2611,3.948,0.724,3.5,4.478,0.05718,6.51684,1.448,M,RT410,PUBLIC LIBRARY SCIENCE,TI,PARASITOLOGY,6/36,Q1,84.722
REV SOC BRAS MED TRO,Rev. Soc. Bras. Med. Trop.,Revista da Sociedade Brasileira de Medicina Tropical,0037-8682,6,BRAZIL,ENGLISH,1967,TI YU,2292,29,122,159,281,175,203,181,840,148,144,152,296,157,187,180,820,0.949,0.196,7.7,1.024,0.00318,0.36208,0.256,B,ABI17,SOC BRASILEIRA MEDICINA TROPICAL,TI,PARASITOLOGY,29/36,Q4,20.833
ACTA NEUROPATHOL,Acta Neuropathol.,ACTA NEUROPATHOLOGICA,0001-6322,12,GERMANY (FED REP GER),ENGLISH,1961,RT RU TM,14701,299,1235,1446,2681,1376,1074,1249,6380,109,116,120,236,124,114,127,601,11.360,2.743,6.7,10.616,0.03692,4.20817,4.062,M,YK501,SPRINGER,TM,PATHOLOGY,2/79,Q1,98.101
ANN DIAGN PATHOL,Ann. Diagn. Pathol.,Annals of Diagnostic Pathology,1092-9134,6,USA,ENGLISH,1997,TM,1197,19,59,123,182,113,121,62,478,77,66,112,178,93,86,73,430,1.022,0.247,7.5,1.112,0.00202,0.2298,0.310,B,JM501,ELSEVIER SCIENCE INC,TM,PATHOLOGY,61/79,Q4,23.418
APPL IMMUNOHISTO M M,Appl. Immunohistochem.,APPLIED IMMUNOHISTOCHEMISTRY & MOLECULAR MORPHOLOGY,1541-2016,10,USA,ENGLISH,1993,AY PW TM,1568,33,138,171,309,150,135,154,748,103,113,86,199,83,87,87,456,1.553,0.320,6,1.640,0.00330,0.37591,0.478,M,VF505,LIPPINCOTT WILLIAMS & WILKINS,TM,PATHOLOGY,48/79,Q3,39.873
BRAIN PATHOL,Brain Pathol.,BRAIN PATHOLOGY,1015-6305,6,ENGLAND,ENGLISH,1990,RT RU TM,4403,79,354,345,699,344,190,449,1682,77,70,63,133,66,63,113,375,5.256,1.026,7.5,4.485,0.00877,0.99989,1.547,B,FL501,WILEY-BLACKWELL,TM,PATHOLOGY,6/79,Q1,93.038
DIAGN CYTOPATHOL,Diagn. Cytopathol.,DIAGNOSTIC CYTOPATHOLOGY,8755-1039,12,USA,ENGLISH,1985,PW TM,2455,32,181,156,337,235,172,151,895,174,162,182,344,214,161,153,872,0.980,0.184,8.2,1.026,0.00309,0.35246,0.234,M,FL501,WILEY-BLACKWELL,TM,PATHOLOGY,63/79,Q4,20.886
J CLIN PATHOL,J. Clin. Pathol.,JOURNAL OF CLINICAL PATHOLOGY,0021-9746,12,ENGLAND,ENGLISH,1947,TM,10464,111,415,616,1031,502,506,440,2479,162,183,171,354,195,199,197,945,2.912,0.685,>10,2.623,0.01128,1.28525,0.789,M,FS001,BMJ PUBLISHING GROUP,TM,PATHOLOGY,20/79,Q2,75.316
J HEMATOP,J. Hematop.,Journal of Hematopathology,1868-9256,4,NETHERLANDS,ENGLISH,2008,MA TM,89,2,4,4,8,10,5,3,26,24,23,35,58,0,0,0,58,0.138,0.083,,,0.00015,0.01691,,Q,ZX651,SPRINGER HEIDELBERG,TM,PATHOLOGY,78/79,Q4,1.899
MED NUCL,Med. Nucl.-Imag. Fonct. Metab.,Medecine Nucleaire-Imagerie Fonctionnelle et Metabolique,0928-1258,6,FRANCE,FRENCH,1993,TM,80,3,6,12,18,7,3,9,37,77,51,86,137,93,88,82,400,0.131,0.039,,0.093,0.00005,0.00554,0.008,B,JB243,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,TM,PATHOLOGY,79/79,Q4,0.633
MODERN PATHOL,Mod. Pathol.,MODERN PATHOLOGY,0893-3952,12,USA,ENGLISH,1988,TM,11971,222,906,1063,1969,1257,1085,935,5246,159,175,184,359,175,179,185,898,5.485,1.396,6.7,5.842,0.02616,2.98211,1.927,M,SL801,NATURE PUBLISHING GROUP,TM,PATHOLOGY,5/79,Q1,94.304
NEUROPATHOLOGY,Neuropathology,NEUROPATHOLOGY,0919-6544,6,JAPAN,ENGLISH,1980,RT RU TM,1500,27,110,139,249,140,134,146,669,70,78,82,160,84,83,81,408,1.556,0.386,6.4,1.640,0.00302,0.34365,0.489,B,FL501,WILEY-BLACKWELL,TM,PATHOLOGY,47/79,Q3,41.139
PATHOBIOLOGY,Pathobiology,PATHOBIOLOGY,1015-2008,6,SWITZERLAND,ENGLISH,1990,DR TM,887,3,28,95,123,67,92,61,343,35,29,42,71,33,36,41,181,1.732,0.086,7.6,1.895,0.00141,0.16044,0.514,B,WG001,KARGER,TM,PATHOLOGY,44/79,Q3,44.937
PATHOL BIOL,Pathol. Biol.,PATHOLOGIE BIOLOGIE,0369-8114,6,FRANCE,MULTI-LANGUAGE,1969,TM,1120,17,75,39,114,83,69,154,420,47,59,54,113,61,61,73,308,1.009,0.362,7.6,1.364,0.00160,0.18248,0.344,B,JB243,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,TM,PATHOLOGY,62/79,Q4,22.152
PATHOL ONCOL RES,Pathol. Oncol. Res.,PATHOLOGY & ONCOLOGY RESEARCH,1219-4956,4,HUNGARY,ENGLISH,1995,DM TM,1735,54,210,242,452,258,215,108,1033,153,124,109,233,140,133,85,591,1.940,0.353,4.5,1.748,0.00380,0.4331,0.425,Q,PA269,SPRINGER,TM,PATHOLOGY,36/79,Q2,55.063
PATHOLOGE,Pathologe,PATHOLOGE,0172-8113,6,USA,GERMAN,1979,TM,564,9,47,34,81,55,39,58,233,65,68,82,150,98,63,98,409,0.540,0.138,7.9,0.570,0.00066,0.07496,0.106,B,YK501,SPRINGER,TM,PATHOLOGY,73/79,Q4,8.228
PEDIATR DEVEL PATHOL,Pediatr. Dev. Pathol.,PEDIATRIC AND DEVELOPMENTAL PATHOLOGY,1093-5266,6,USA,ENGLISH,1998,TM TQ,1271,17,41,60,101,107,83,86,377,65,70,60,130,89,79,70,368,0.777,0.262,9,1.024,0.00201,0.22886,0.361,B,JX520,ALLIANCE COMMUNICATIONS GROUP DIVISION ALLEN PRESS,TM,PATHOLOGY,71/79,Q4,10.759
EAT DISORD,Eat. Disord,Eating Disorders,1064-0266,5,USA,ENGLISH,1993,VE VI,723,11,34,40,74,90,76,65,305,37,32,31,63,33,0,0,96,1.175,0.297,7.3,,0.00150,0.17043,,B,VQ835,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",VI,PSYCHOLOGY,58/76,Q4,24.342
EXP AGING RES,Exp. Aging Res.,EXPERIMENTAL AGING RESEARCH,0361-073X,5,USA,ENGLISH,1975,LI VI,871,9,29,35,64,35,46,31,176,30,28,30,58,30,28,25,141,1.103,0.300,>10,1.248,0.00089,0.10201,0.420,B,ZA463,TAYLOR & FRANCIS INC,VI,PSYCHOLOGY,61/76,Q4,20.395
HUM MOVEMENT SCI,Hum. Mov. Sci.,HUMAN MOVEMENT SCIENCE,0167-9457,6,NETHERLANDS,ENGLISH,1982,RU VI XW,3354,52,169,226,395,256,260,216,1127,157,132,114,246,125,94,79,544,1.606,0.331,8.6,2.072,0.00513,0.58519,0.624,B,JM901,ELSEVIER SCIENCE BV,VI,PSYCHOLOGY,48/76,Q3,37.5
J MOTOR BEHAV,J. Mot. Behav.,JOURNAL OF MOTOR BEHAVIOR,0022-2895,6,USA,ENGLISH,1969,RU VI XW,2019,24,51,100,151,98,80,74,403,56,45,51,96,47,54,42,239,1.573,0.429,>10,1.686,0.00201,0.22869,0.555,B,VQ835,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",VI,PSYCHOLOGY,49/76,Q3,36.184
PSYCHOL MED,Psychol. Med.,PSYCHOLOGICAL MEDICINE,0033-2917,16,USA,ENGLISH,1970,VE VI,20304,282,1335,1504,2839,1413,1374,1292,6918,285,293,224,517,230,235,177,1159,5.491,0.989,8.8,5.969,0.03655,4.16609,2.085,S,GL001,CAMBRIDGE UNIV PRESS,VI,PSYCHOLOGY,7/76,Q1,91.447
PSYCHOL REV,Psychol. Rev.,PSYCHOLOGICAL REVIEW,0033-295X,4,USA,ENGLISH,1894,VI,23958,41,144,326,470,300,329,771,1870,32,26,36,62,36,28,46,172,7.581,1.281,>10,10.872,0.01563,1.78117,6.008,Q,CX001,AMER PSYCHOLOGICAL ASSOC,VI,PSYCHOLOGY,5/76,Q1,94.079
PSYCHOSOM MED,Psychosom. Med.,PSYCHOSOMATIC MEDICINE,0033-3174,9,USA,ENGLISH,1938,VE VI,11369,70,313,371,684,530,543,651,2408,104,86,102,188,122,102,118,530,3.638,0.673,>10,4.543,0.01274,1.45224,1.590,M,VF505,LIPPINCOTT WILLIAMS & WILKINS,VI,PSYCHOLOGY,13/76,Q1,83.553
SOC NEUROSCI-UK,Soc. Neurosci.,Social Neuroscience,1747-0919,6,ENGLAND,ENGLISH,2006,RU VI,1459,14,130,170,300,163,209,177,849,51,55,53,108,50,52,41,251,2.778,0.275,5.2,3.382,0.00470,0.53532,1.237,B,VQ835,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",VI,PSYCHOLOGY,23/76,Q2,70.395
ACAD RADIOL,Acad. Radiol.,ACADEMIC RADIOLOGY,1076-6332,12,USA,ENGLISH,1994,VY,4298,105,356,403,759,437,347,355,1898,195,188,198,386,196,195,199,976,1.966,0.538,6.5,1.945,0.00976,1.11209,0.661,M,JM501,ELSEVIER SCIENCE INC,VY,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",57/124,Q2,54.435
AM J NEURORADIOL,Am. J. Neuroradiol.,AMERICAN JOURNAL OF NEURORADIOLOGY,0195-6108,12,USA,ENGLISH,1980,RT RX VY,20164,205,1030,1369,2399,1503,1505,1136,6543,357,378,390,768,350,358,344,1820,3.124,0.574,8.5,3.595,0.03243,3.69694,1.178,M,DK040,AMER SOC NEURORADIOLOGY,VY,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",24/124,Q1,81.048
AM J ROENTGENOL,Am. J. Roentgenol.,AMERICAN JOURNAL OF ROENTGENOLOGY,0361-803X,12,USA,ENGLISH,1906,VY,30030,260,1059,1649,2708,1883,2084,1984,8659,513,494,524,1018,531,630,566,2745,2.660,0.507,9.6,3.154,0.04046,4.6117,0.975,M,CY040,AMER ROENTGEN RAY SOC,VY,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",34/124,Q2,72.984
REV CIENT-FAC CIEN V,Rev. Cient.-Fac. Cienc. Vet.,REVISTA CIENTIFICA-FACULTAD DE CIENCIAS VETERINARIAS,0798-2259,6,VENEZUELA,MULTI-LANGUAGE,1991,ZC,189,0,7,7,14,8,17,13,52,58,60,60,120,61,63,74,318,0.117,0.000,8.6,0.164,0.00017,0.01886,0.034,B,JV999,"UNIV ZULIA, FACULTAD CIENCIAS VETERINARIAS",ZC,VETERINARY SCIENCES,129/138,Q4,6.884
VET IMMUNOL IMMUNOP,Vet. Immunol. Immunopathol.,VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY,0165-2427,12,NETHERLANDS,ENGLISH,1979,NI ZC,6035,39,224,390,614,437,463,402,1916,152,164,205,369,260,267,244,1140,1.664,0.257,8.4,1.681,0.00801,0.9126,0.464,M,JM901,ELSEVIER SCIENCE BV,ZC,VETERINARY SCIENCES,27/138,Q1,80.797
VET MEXICO,Vet. Mexico,VETERINARIA MEXICO,0301-5092,4,MEXICO,MULTI-LANGUAGE,1970,ZC,121,0,2,3,5,3,11,7,26,8,12,5,17,26,27,26,96,0.294,0.000,>10,0.271,0.00011,0.01288,0.078,Q,ZV600,UNIV NACIONAL AUTONOMA MEXICO FACULTAD MEDICINA VETERINARIA,ZC,VETERINARY SCIENCES,116/138,Q4,16.304
VET OPHTHALMOL,Vet. Ophthalmol.,VETERINARY OPHTHALMOLOGY,1463-5216,6,USA,ENGLISH,1998,ZC,1883,29,105,237,342,129,130,151,752,100,96,101,197,93,80,89,459,1.736,0.290,7.5,1.638,0.00287,0.32672,0.413,B,FL501,WILEY-BLACKWELL,ZC,VETERINARY SCIENCES,24/138,Q1,82.971
ZOO BIOL,Zoo Biol.,ZOO BIOLOGY,0733-3188,6,USA,ENGLISH,1982,ZC ZM,1256,6,54,88,142,45,75,78,340,72,67,82,149,60,57,61,327,0.953,0.083,>10,1.040,0.00139,0.15879,0.282,B,FL501,WILEY-BLACKWELL,ZC,VETERINARY SCIENCES,61/138,Q2,56.159
ANGIOGENESIS,Angiogenesis,ANGIOGENESIS,0969-6970,4,NETHERLANDS,ENGLISH,1997,ZD,2341,18,292,280,572,335,155,124,1186,38,61,72,133,57,43,29,262,4.301,0.474,5.7,4.527,0.00553,0.62989,1.395,Q,PA269,SPRINGER,ZD,PERIPHERAL VASCULAR DISEASE,11/63,Q1,83.333
ARTERIOSCL THROM VAS,Arterioscler. Thromb. Vasc. Biol.,ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,1079-5642,12,USA,ENGLISH,1981,MA ZD,32993,460,1793,2200,3993,2344,2413,2200,10950,298,312,357,669,370,375,345,1759,5.969,1.544,8.7,6.225,0.05696,6.49231,2.141,M,VF505,LIPPINCOTT WILLIAMS & WILKINS,ZD,PERIPHERAL VASCULAR DISEASE,4/63,Q1,94.444
CEREBROVASC DIS,Cerebrovasc. Dis.,CEREBROVASCULAR DISEASES,1015-9770,8,USA,ENGLISH,1991,RT ZD,5518,43,280,553,833,560,498,430,2321,77,115,133,248,127,154,168,697,3.359,0.558,6.7,3.330,0.01230,1.40235,1.167,B,WG001,KARGER,ZD,PERIPHERAL VASCULAR DISEASE,15/63,Q1,76.984
CLIN APPL THROMB-HEM,Clin. Appl. Thromb.-Hemost.,CLINICAL AND APPLIED THROMBOSIS-HEMOSTASIS,1076-0296,8,USA,ENGLISH,1995,MA ZD,1476,74,231,203,434,175,150,104,863,111,117,103,220,96,144,106,566,1.973,0.667,4.4,1.525,0.00324,0.36968,0.379,B,WH001,SAGE PUBLICATIONS INC,ZD,PERIPHERAL VASCULAR DISEASE,43/63,Q3,32.54
CURR ATHEROSCLER REP,Curr. Atheroscleros. Rep.,Current Atherosclerosis Reports,1523-3804,6,USA,ENGLISH,1998,ZD,1775,39,240,259,499,278,145,143,1065,87,84,82,166,74,61,56,357,3.006,0.448,4.5,2.983,0.00487,0.55509,0.902,B,IE313,CURRENT MEDICINE GROUP,ZD,PERIPHERAL VASCULAR DISEASE,26/63,Q2,59.524
CURR OPIN LIPIDOL,Curr. Opin. Lipidology,CURRENT OPINION IN LIPIDOLOGY,0957-9672,6,ENGLAND,ENGLISH,1990,CQ IA ZD,3953,53,302,365,667,343,267,304,1581,71,64,61,125,64,58,60,307,5.336,0.746,7.3,5.150,0.00813,0.92708,1.752,B,VF505,LIPPINCOTT WILLIAMS & WILKINS,ZD,PERIPHERAL VASCULAR DISEASE,7/63,Q1,89.683
CURR VASC PHARMACOL,Current Vascular Pharmacology,Current Vascular Pharmacology,1570-1611,4,U ARAB EMIRATES,ENGLISH,2003,TU ZD,1463,60,185,221,406,222,149,159,936,67,91,80,171,94,69,82,416,2.374,0.896,4.3,2.250,0.00369,0.42045,0.586,Q,FF475,BENTHAM SCIENCE PUBL LTD,ZD,PERIPHERAL VASCULAR DISEASE,36/63,Q3,43.651
J CLIN HYPERTENS,J. Clin. Hypertens.,Journal of Clinical Hypertension,1524-6175,12,USA,ENGLISH,1998,ZD,2428,99,303,291,594,299,297,139,1329,119,112,121,233,121,116,98,568,2.549,0.832,4.7,2.340,0.00627,0.7143,0.730,M,FL501,WILEY-BLACKWELL,ZD,PERIPHERAL VASCULAR DISEASE,33/63,Q3,48.413
TOXICOL PATHOL,Toxicol. Pathol.,TOXICOLOGIC PATHOLOGY,0192-6233,8,USA,ENGLISH,1972,TM YO,4526,50,165,237,402,330,217,293,1242,105,86,97,183,114,107,98,502,2.197,0.476,8.6,2.474,0.00491,0.55919,0.646,B,WH001,SAGE PUBLICATIONS INC,TM,PATHOLOGY,28/79,Q2,65.19
CURR OPIN PEDIATR,CURR. OPIN. PEDIATR.,CURRENT OPINION IN PEDIATRICS,1040-8703,6,USA,ENGLISH,1989,TQ,2721,40,171,265,436,280,266,240,1222,103,102,96,198,99,100,113,510,2.202,0.388,6.3,2.396,0.00695,0.7926,0.902,B,VF505,LIPPINCOTT WILLIAMS & WILKINS,TQ,PEDIATRICS,31/120,Q2,74.583
DEV NEUROREHABIL,Dev. Neurorehabil.,Developmental Neurorehabilitation,1751-8423,6,ENGLAND,ENGLISH,2007,RT TQ WC,644,15,62,99,161,73,69,114,417,53,51,51,102,50,51,49,252,1.578,0.283,5,1.655,0.00200,0.22791,0.525,B,ZA463,TAYLOR & FRANCIS INC,TQ,PEDIATRICS,58/120,Q2,52.083
EUR J PAEDIATR DENT,Eur. J. Paediatr. Dent.,European Journal of Paediatric Dentistry,1591-996X,4,ITALY,ENGLISH,1998,FY TQ,336,4,21,40,61,45,44,25,175,57,82,63,145,67,55,42,309,0.421,0.070,5.6,0.566,0.00093,0.10609,0.199,Q,ACB66,ARIESDUE SRL,TQ,PEDIATRICS,116/120,Q4,3.75
INDIAN PEDIATR,Indian Pediatrics,INDIAN PEDIATRICS,0019-6061,12,INDIA,ENGLISH,1993,TQ,2085,77,125,151,276,165,188,138,767,126,131,153,284,150,128,125,687,0.972,0.611,7.5,1.116,0.00343,0.3905,0.330,M,ACB09,SPRINGER INDIA,TQ,PEDIATRICS,93/120,Q4,22.917
J AM ACAD CHILD PSY,J. Am. Acad. Child Adolesc. Psychiatr.,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,0890-8567,12,NETHERLANDS,ENGLISH,1962,TQ VE,18227,135,618,761,1379,924,786,1142,4231,94,96,96,192,96,96,101,485,7.182,1.436,>10,8.724,0.02318,2.64153,3.160,M,JM501,ELSEVIER SCIENCE INC,TQ,PEDIATRICS,2/120,Q1,98.75
J CHILD ADOL PSYCHOP,J. Child Adolesc. Psychopharmacol.,JOURNAL OF CHILD AND ADOLESCENT PSYCHOPHARMACOLOGY,1044-5463,10,USA,ENGLISH,1990,TQ TU VE,2418,33,148,170,318,187,231,173,909,91,77,71,148,48,62,57,315,2.149,0.363,7.1,2.886,0.00424,0.48357,0.891,M,PZ785,"MARY ANN LIEBERT, INC",TQ,PEDIATRICS,32/120,Q2,73.75
J PERINATOL,J. Perinatol.,Journal of Perinatology,0743-8346,12,USA,ENGLISH,1980,SD TQ,4552,88,380,409,789,375,342,295,1801,202,184,194,378,155,139,147,819,2.087,0.436,7.2,2.199,0.01041,1.18681,0.841,M,SL801,NATURE PUBLISHING GROUP,TQ,PEDIATRICS,36/120,Q2,70.417
J TROP PEDIATRICS,J. Trop. Pediatr.,JOURNAL OF TROPICAL PEDIATRICS,0142-6338,6,ENGLAND,ENGLISH,1954,TQ YU,1455,11,47,132,179,119,93,87,478,69,82,87,169,85,90,81,425,1.059,0.159,9.4,1.125,0.00303,0.34554,0.472,B,TT001,OXFORD UNIV PRESS,TQ,PEDIATRICS,87/120,Q3,27.917
CANCER IMAGING,Cancer Imaging,CANCER IMAGING,1470-7330,0,ENGLAND,ENGLISH,2000,DM VY,786,4,32,115,147,109,99,88,443,22,35,65,100,63,35,29,227,1.470,0.182,5.4,1.952,0.00193,0.21971,0.562,I,ACB60,E-MED,VY,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",84/124,Q3,32.661
CLIN IMAG,Clin. Imaging,CLINICAL IMAGING,0899-7071,6,USA,ENGLISH,1989,VY,1458,35,137,238,375,134,89,74,672,224,177,211,388,157,83,82,710,0.966,0.156,6.3,0.946,0.00283,0.32219,0.263,B,JM501,ELSEVIER SCIENCE INC,VY,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",109/124,Q4,12.5
CLIN NEURORADIOL,Clin. Neuroradiol.,Clinical Neuroradiology,1869-1439,4,GERMANY (FED REP GER),MULTI-LANGUAGE,1990,RT VY,323,25,90,63,153,48,22,26,249,60,29,24,53,25,14,15,107,2.887,0.417,2.7,2.327,0.00115,0.13129,0.712,Q,ZX651,SPRINGER HEIDELBERG,VY,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",30/124,Q1,76.21
EUR J RADIOL,Eur. J. Radiol.,EUROPEAN JOURNAL OF RADIOLOGY,0720-048X,12,IRELAND,ENGLISH,1981,VY,10453,130,732,1397,2129,2161,1160,934,6384,370,347,474,821,833,487,394,2535,2.593,0.351,4.7,2.518,0.02999,3.41772,0.782,M,JN201,ELSEVIER IRELAND LTD,VY,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",36/124,Q2,71.371
